country,continent,idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn
Haiti,Americas,HAI,Martelly,HAI_2011_1,824ff802-1e42-11e4-b4cd-db5882bf8def,2011-05-14,2016-02-07,Regular,Regular,M,1961
Haiti,Americas,HAI,Jocelerme Privert,HAI_2016_2,.,2016-02-14,2017-02-07,Regular,Regular,M,1953
Haiti,Americas,HAI,Jovenel Moise,HAI_2017_1,.,2017-02-07,2021-07-07,Regular,Assassination,M,1968
Haiti,Americas,HAI,Ariel Henry,HAI_2021_2,.,2022-07-20,2023-12-31,Regular,Still in Office,M,1949
Honduras,Americas,HON,Azcona Hoyo,HON_1986_1,81e73f37-1e42-11e4-b4cd-db5882bf8def,1986-01-27,1990-01-27,Regular,Regular,M,1927
Honduras,Americas,HON,Callejas,HON_1990_1,81e73f38-1e42-11e4-b4cd-db5882bf8def,1990-01-27,1994-01-27,Regular,Regular,M,1943
Honduras,Americas,HON,Reina,HON_1994_1,81e77012-1e42-11e4-b4cd-db5882bf8def,1994-01-27,1998-01-27,Regular,Regular,M,1926
Honduras,Americas,HON,Flores Facusse,HON_1998_1,81e77013-1e42-11e4-b4cd-db5882bf8def,1998-01-27,2002-01-27,Regular,Regular,M,1950
Honduras,Americas,HON,Ricardo Maduro,HON_2002_1,81e77014-1e42-11e4-b4cd-db5882bf8def,2002-01-27,2006-01-27,Regular,Regular,M,1946
Honduras,Americas,HON,Zelaya,HON_2006_1,825059b2-1e42-11e4-b4cd-db5882bf8def,2006-01-27,2009-06-28,Regular,Irregular,M,1952
Honduras,Americas,HON,Lobo,HON_2010_1,825059b4-1e42-11e4-b4cd-db5882bf8def,2010-01-27,2014-01-27,Regular,Regular,M,1947
Honduras,Americas,HON,Hernandez,HON_2014_1,149deeac-aae0-11e4-b3bc-29f2fa19767e,2014-01-27,2022-01-27,Regular,Regular,M,1968
Honduras,Americas,HON,Iris Xiomara Castro Sarmiento,HON_2022_1,.,2022-01-27,2023-12-31,Regular,Still in Office,F,1959
Hungary,Europe,HUN,Antall,HUN_1990_1,821750ed-1e42-11e4-b4cd-db5882bf8def,1990-05-03,1993-12-12,Regular,Natural Death,M,1932
Hungary,Europe,HUN,Horn,HUN_1994_1,821781bd-1e42-11e4-b4cd-db5882bf8def,1994-07-15,1998-07-06,Regular,Regular,M,1932
Hungary,Europe,HUN,Orban,HUN_1998_1,821781be-1e42-11e4-b4cd-db5882bf8def,1998-07-06,2002-05-27,Regular,Regular,M,1963
Hungary,Europe,HUN,Peter Medgyessy,HUN_2002_1,821781bf-1e42-11e4-b4cd-db5882bf8def,2002-05-27,2004-09-29,Regular,Regular,M,1942
Hungary,Europe,HUN,Ferenc Gyurcsany,HUN_2004_1,821781c0-1e42-11e4-b4cd-db5882bf8def,2004-09-29,2009-04-14,Regular,Regular,M,1961
Hungary,Europe,HUN,Bajnai,HUN_2009_1,8251af7f-1e42-11e4-b4cd-db5882bf8def,2009-04-14,2010-05-29,Regular,Regular,M,1968
Hungary,Europe,HUN,Orban,HUN_2010_1,821781be-1e42-11e4-b4cd-db5882bf8def,2010-05-29,2023-12-31,Regular,Still in Office,M,1963
Iceland,Europe,ICE,Hermannsson,ICE_1988_1,8228ac9e-1e42-11e4-b4cd-db5882bf8def,1988-09-28,1991-04-30,Regular,Regular,M,1928
Iceland,Europe,ICE,Oddsson,ICE_1991_1,8228dd72-1e42-11e4-b4cd-db5882bf8def,1991-04-30,2004-09-15,Regular,Regular,M,1948
Iceland,Europe,ICE,Halldor Asgrimsson,ICE_2004_1,8228dd73-1e42-11e4-b4cd-db5882bf8def,2004-09-15,2006-06-15,Regular,Regular,M,1947
Iceland,Europe,ICE,Hilmar Haarde,ICE_2006_1,82530556-1e42-11e4-b4cd-db5882bf8def,2006-06-15,2009-02-01,Regular,Regular,M,1951
Iceland,Europe,ICE,Sigurdardottir,ICE_2009_1,82530557-1e42-11e4-b4cd-db5882bf8def,2009-02-01,2013-05-23,Regular,Regular,F,1942
Iceland,Europe,ICE,Gunnlaugsson,ICE_2013_1,149f0027-aae0-11e4-b3bc-29f2fa19767e,2013-05-23,2016-04-07,Regular,Irregular,M,1975
Iceland,Europe,ICE,Johannsson,ICE_2016_1,.,2016-04-07,2017-01-11,Regular,Regular,M,1962
Iceland,Europe,ICE,Benediktsson,ICE_2017_1,.,2017-01-11,2017-11-30,Regular,Regular,M,1970
Iceland,Europe,ICE,Jakobsdottir,ICE_2017_2,.,2017-11-30,2023-12-31,Regular,Still in Office,F,1976
India,Asia,IND,Pratap Singh,IND_1989_1,8247936b-1e42-11e4-b4cd-db5882bf8def,1989-12-02,1990-11-10,Regular,Regular,M,1931
India,Asia,IND,Rao,IND_1991_1,8247c43b-1e42-11e4-b4cd-db5882bf8def,1991-06-21,1996-05-16,Regular,Regular,M,1921
India,Asia,IND,Gowda,IND_1996_2,8247c43d-1e42-11e4-b4cd-db5882bf8def,1996-06-01,1997-04-21,Regular,Regular,M,1933
India,Asia,IND,Gujral,IND_1997_1,8247c43e-1e42-11e4-b4cd-db5882bf8def,1997-04-21,1998-03-19,Regular,Regular,M,1919
India,Asia,IND,Vajpayee,IND_1998_1,8247c43c-1e42-11e4-b4cd-db5882bf8def,1998-03-19,2004-05-22,Regular,Regular,M,1924
India,Asia,IND,Manmohan Singh,IND_2004_1,8247c43f-1e42-11e4-b4cd-db5882bf8def,2004-05-22,2014-05-26,Regular,Regular,M,1932
India,Asia,IND,Narendra Modi,IND_2014_1,14a038b1-aae0-11e4-b3bc-29f2fa19767e,2014-05-26,2023-12-31,Regular,Still in Office,M,1950
Indonesia,Asia,INS,Suharto,INS_1966_1,824d1b88-1e42-11e4-b4cd-db5882bf8def,1966-03-12,1998-05-21,Irregular,Regular,M,1921
Indonesia,Asia,INS,Habibie,INS_1998_1,824d1b89-1e42-11e4-b4cd-db5882bf8def,1998-05-21,1999-10-20,Regular,Regular,M,1936
Indonesia,Asia,INS,Wahid,INS_1999_1,824d1b8a-1e42-11e4-b4cd-db5882bf8def,1999-10-20,2001-07-23,Regular,Regular,M,1940
Indonesia,Asia,INS,Megawati Sukarnoputri,INS_2001_1,824d1b8b-1e42-11e4-b4cd-db5882bf8def,2001-07-24,2004-10-20,Regular,Regular,F,1947
Indonesia,Asia,INS,Bambang Yudhoyono,INS_2004_1,824d1b8c-1e42-11e4-b4cd-db5882bf8def,2004-10-20,2014-10-20,Regular,Regular,M,1949
Indonesia,Asia,INS,Joko Widodo,INS_2014_1,14a05fc3-aae0-11e4-b3bc-29f2fa19767e,2014-10-20,2023-12-31,Regular,Still in Office,M,1961
Ireland,Europe,IRE,Haughey,IRE_1987_1,82083f2e-1e42-11e4-b4cd-db5882bf8def,1987-03-10,1992-02-11,Regular,Regular,M,1925
Ireland,Europe,IRE,Reynolds,IRE_1992_1,82087001-1e42-11e4-b4cd-db5882bf8def,1992-02-11,1994-12-15,Regular,Regular,M,1935
Ireland,Europe,IRE,Bruton,IRE_1994_1,82087002-1e42-11e4-b4cd-db5882bf8def,1994-12-15,1997-06-26,Regular,Regular,M,1947
Ireland,Europe,IRE,Ahern,IRE_1997_1,8208a0d4-1e42-11e4-b4cd-db5882bf8def,1997-06-26,2008-05-07,Regular,Regular,M,1951
Ireland,Europe,IRE,B. Cowen,IRE_2008_1,8250ec30-1e42-11e4-b4cd-db5882bf8def,2008-05-07,2011-03-09,Regular,Regular,M,1960
Ireland,Europe,IRE,E. Kenny,IRE_2011_1,82511d00-1e42-11e4-b4cd-db5882bf8def,2011-03-09,2017-06-14,Regular,Regular,M,1951
Ireland,Europe,IRE,Leo Varadkar,IRE_2017_1,.,2017-06-14,2020-06-27,Regular,Regular,M,1979
Ireland,Europe,IRE,Michéal Martin,IRE_2020_1,.,2020-06-27,2022-12-17,Regular,Regular,M,1960
Ireland,Europe,IRE,Leo Varadkar,IRE_2022_1,.,2022-12-17,2023-12-31,Regular,Still in Office,M,1979
Iran,Asia,IRN,Rafsanjani,IRN_1989_2,823ce4cb-1e42-11e4-b4cd-db5882bf8def,1989-08-17,1997-08-03,Regular,Regular,M,1943
Iran,Asia,IRN,Khatami,IRN_1997_1,823ce4cc-1e42-11e4-b4cd-db5882bf8def,1997-08-03,2005-08-03,Regular,Regular,M,1946
Iran,Asia,IRN,Ahmadinejad,IRN_2005_1,82545b2a-1e42-11e4-b4cd-db5882bf8def,2005-08-03,2013-08-03,Regular,Regular,M,1956
Iran,Asia,IRN,Rouhani,IRN_2013_1,2b3c6720-3481-11e4-8dba-bbcd9ed46413,2013-08-03,2021-08-03,Regular,Regular,M,1948
Iran,Asia,IRN,Ebrahim Raisi,IRN_2021_1,.,2021-08-03,2023-12-31,Regular,Still in Office,M,1960
