"","ccode","idacr","country","year","tstart","tstop","leader","age","group","survival_time","status","GDP_trend","GDP_pc","pop_log","polity5","polstab"
"179",694,"QAT","Qatar",1972,1972.14246575342,1995.48493150685,"Khalifah Ath-Thani",40,"B",8526,2,1.26258599696824,93.119,2.65063293023226,-10,0
"180",694,"QAT","Qatar",1995,1995.48493150685,2013.47945205479,"Hamad ibn Khalifah Al Thani",43,"B",6573,1,1.06530588471321,32.922,3.9812878399298,-10,0
"181",700,"AFG","Afghanistan",1953,1953.68219178082,1963.18630136986,"Sardar Mohammad Daud Khan",44,"B",3471,1,1.03448275862069,1.968,6.82096351423961,-10,0
"182",700,"AFG","Afghanistan",1973,1973.5397260274,1978.31780821918,"Sardar Mohammad Daud Khan",64,"B",1745,2,0.888079125455492,1.706,7.21546274803282,-7,0
"183",700,"AFG","Afghanistan",1978,1978.32602739726,1979.23287671233,"Taraki",61,"B",331,2,0.995411224849982,1.692,7.30962994917537,-8,7
"184",700,"AFG","Afghanistan",1979,1979.23287671233,1979.98630136986,"Amin",50,"B",275,2,1.00530347672363,1.706,7.31071191015781,-8,7
"185",701,"TKM","Turkmenistan",1999,1999.81917808219,2006.9698630137,"Niyazov",59,"A",2612,1,1.06170461840565,5.623,6.1937173993906,-9,0
"186",702,"TAJ","Tajikistan",2002,2002.88493150685,2023.90410958904,"Rakhmonov",50,"A",7677,1,1.1543518275046,1.756,6.51429037948941,-1,0
"187",703,"KYR","Kyrgyzstan",2000,2000.82191780822,2005.22739726027,"Akayev",56,"A",1610,2,1.00621572212066,2.752,6.23333367531954,-3,0
"188",704,"UZB","Uzbekistan",2004,2004.22739726027,2016.67123287671,"Karimov",66,"A",4545,1,1.1227657781523,5.063,7.92945268544878,-9,0
"189",705,"KZK","Kazakhstan",2000,2000.31232876712,2019.21369863014,"Nazarbayev",60,"A",6904,1,1.12284571901282,8.144,7.36528138671676,-6,0
"190",713,"TAW","Taiwan",1950,1950.16164383562,1975.25753424658,"Chiang Kai-shek",64,"B",9166,1,0.908898080390285,1.714,6.67327268299793,-8,2
"191",732,"ROK","South Korea",1971,1971.50136986301,1979.81643835616,"Hee Park",54,"A",3037,2,1.29004253841479,2.972,8.14038725770484,3,0
"192",732,"ROK","South Korea",1979,1979.81643835616,1980.62465753425,"Choi Kuy Hay",60,"B",295,1,1.21664115188878,5.881,8.28698499415235,-8,1
"193",770,"PAK","Pakistan",1977,1977.50684931507,1988.62739726027,"Zia",53,"B",4061,2,1.05043420173681,1.887,8.96504042041438,-7,2
"194",770,"PAK","Pakistan",1999,1999.78356164384,2008.6301369863,"Musharraf",56,"B",3231,1,1.0193915078569,3.049,9.60164265914018,-6,1
"195",771,"BNG","Bangladesh",1981,1981.40821917808,1982.21369863014,"Sattar",75,"B",294,2,1.0167422392745,1.166,9.11261607052369,-4,2
"196",771,"BNG","Bangladesh",1982,1982.23287671233,1990.92876712329,"Ershad",52,"B",3176,2,1.01141078838174,1.17,9.13607264860138,-7,2
"197",775,"MYA","Burma/Myanmar",1962,1962.16438356164,1988.56438356164,"Ne Win",51,"B",9642,1,1.00335310807325,0.778,7.7819853328176,-6,4
"198",775,"MYA","Burma/Myanmar",1988,1988.71506849315,1992.3095890411,"Saw Maung",60,"B",1313,1,0.882078986587183,0.947,8.30618965106286,-4,5
"199",790,"NEP","Nepal",1951,1951.13150684931,1955.19452054795,"Tribhuvan",45,"B",1484,1,0.997596153846154,0.747,6.87088484176535,-7,0
"200",800,"THI","Thailand",1991,1991.17808219178,1992.25753424658,"Panyarachun",59,"B",394,1,1.2721507181496,6.82,8.69839078346507,-1,0
"201",800,"THI","Thailand",2006,2006.71506849315,2008.07671232877,"Chulanont",63,"B",497,1,1.14473684210526,11.658,8.84629878943219,-5,1
"202",800,"THI","Thailand",2014,2014.38630136986,2023.63835616438,"Prayuth Chan-ocha",60,"B",3379,1,1.079967384024,14.834,8.88843338522783,-3,1
"203",811,"CAM","Cambodia",1970,1970.20821917808,1975.27123287671,"Lon Nol",57,"B",1849,2,1.16534653465347,1.177,6.6823629510641,-5,5
"204",811,"CAM","Cambodia",1997,1997.03561643836,2023.63835616438,"Hun Sen",45,"A",9716,1,1.016146561093,1.309,7.08677639530941,-7,2
"205",812,"LAO","Laos",1960,1960.95068493151,1962.47123287671,"Boun Oum",48,"B",556,1,1.02513227513228,0.775,5.47395412981327,-4,3
"206",817,"RVN","Republic of Vietnam",1964,1964.07945205479,1964.84383561644,"Khanh",37,"B",279,2,1.00349475786321,1.608,6.37841769465121,-3,7
"207",840,"PHI","Philippines",1973,1973.99452054795,1986.15068493151,"Marcos",56,"A",4440,2,1.10209852656645,2.962,8.34869335306377,-9,6
"208",850,"INS","Indonesia",1963,1963.98630136986,1966.19178082192,"Sukarno",62,"A",806,2,0.92743607463718,1.342,9.23360347550028,-5,3
"209",850,"INS","Indonesia",1966,1966.19178082192,1998.38356164384,"Suharto",45,"B",11758,1,0.944584382871536,1.275,9.30008161947641,-6,8
"210",940,"SOL","Solomon Islands",1994,1994.8301369863,1997.65205479452,"Mamaloni",51,"B",1031,1,1.1025641025641,2.537,3.62044000089142,8,0
"211",950,"FJI","Fiji",1987,1987.36438356164,1987.92602739726,"Rabuka",39,"B",205,1,1.00193236714976,5.185,4.33308583415937,-1,0
"212",950,"FJI","Fiji",2000,2000.53424657534,2006.92602739726,"Laisenia Qarase",59,"B",2335,2,1.03138179111883,6.652,4.45058441152089,5,0
"213",552,"ZIM","Zimbabwe",2017,2017.89589041096,2023.90410958904,"Emmerson Mnangagwa",75,"B",2194,1,1.11849390919158,3.03,7.34628049596337,4,0
